sample_idx,canary_exact,stage4_exact,canary_prefix3,stage4_prefix3,canary_first1,stage4_first1,canary_last1,stage4_last1,canary_top1_eq,stage4_top1_eq,canary_rank,stage4_rank
430,0,0,0,0,0,1,1,1,0,0,21,21
431,0,0,0,0,0,0,1,1,0,0,21,21
432,0,0,0,0,0,0,1,1,0,0,21,21
433,0,1,0,1,0,1,1,1,0,1,21,1
434,0,0,0,0,0,0,1,1,0,0,21,21
435,0,0,0,0,0,0,1,1,0,0,21,21
436,0,0,0,0,0,1,1,1,0,0,21,21
437,0,0,0,0,0,0,1,1,0,0,21,21
438,0,0,0,0,0,0,1,1,0,0,21,21
439,0,0,0,0,0,1,1,1,0,0,21,21
440,0,1,0,1,0,1,1,1,0,0,21,18
441,0,0,0,0,0,0,1,1,0,0,21,21
442,0,0,0,0,0,0,1,1,0,0,21,21
443,0,0,0,0,0,0,1,1,0,0,21,21
444,0,1,0,1,0,1,1,1,0,1,21,1
445,0,1,0,1,0,1,1,1,0,0,21,2
446,0,0,0,0,0,0,1,1,0,0,21,21
447,0,0,0,0,0,0,1,1,0,0,21,21
448,0,0,0,0,0,0,1,1,0,0,21,21
449,0,0,0,0,0,0,1,1,0,0,21,21
450,0,0,0,0,0,0,1,1,0,0,21,21
451,0,0,0,0,0,1,1,1,0,0,21,21
452,0,0,0,0,0,1,1,1,0,0,21,21
453,0,0,0,0,0,0,1,1,0,0,21,21
454,0,1,0,1,0,1,1,1,0,1,21,1
455,0,0,0,0,0,0,1,1,0,0,21,21
456,0,0,0,0,0,0,1,1,0,0,21,21
457,0,0,0,0,0,1,1,1,0,0,21,21
458,0,0,0,0,0,1,1,1,0,0,21,21
459,0,0,0,0,0,1,1,1,0,0,21,21
460,0,0,0,0,0,1,1,1,0,0,21,21
461,0,0,0,0,0,1,1,1,0,0,21,21
462,0,0,0,0,0,1,1,1,0,0,21,21
463,0,0,0,0,0,0,1,1,0,0,21,21
464,0,0,0,0,0,0,1,1,0,0,21,21
465,0,0,0,0,0,0,1,1,0,0,21,21
466,0,0,0,0,0,0,1,1,0,0,21,21
467,0,0,0,0,0,1,1,1,0,0,21,21
468,0,0,0,0,0,0,1,1,0,0,21,21
469,0,0,0,0,0,0,1,1,0,0,21,21
470,0,0,0,0,0,0,1,1,0,0,21,21
471,0,0,0,0,0,0,1,1,0,0,21,21
472,0,0,0,0,0,0,1,1,0,0,21,21
473,0,0,0,0,0,1,1,1,0,0,21,21
474,0,0,0,0,0,1,1,1,0,0,21,21
475,0,0,0,0,0,1,1,1,0,0,21,21
476,0,0,0,0,0,0,1,1,0,0,21,21
477,0,0,0,0,0,1,1,1,0,0,21,21
478,0,0,0,0,0,0,1,1,0,0,21,21
479,0,0,0,0,0,1,1,1,0,0,21,21
480,0,0,0,0,0,1,1,1,0,0,21,21
481,0,0,0,0,0,0,1,1,0,0,21,21
482,0,0,0,0,0,1,1,1,0,0,21,21
483,0,1,0,1,0,1,1,1,0,0,21,9
484,0,0,0,0,0,0,1,1,0,0,21,21
485,0,0,0,0,0,0,1,1,0,0,21,21
486,0,0,0,0,0,1,1,1,0,0,21,21
487,0,0,0,0,0,0,1,1,0,0,21,21
488,0,0,0,0,0,0,1,1,0,0,21,21
489,0,0,0,0,0,1,1,1,0,0,21,21
490,0,0,0,0,0,0,1,1,0,0,21,21
491,0,0,0,0,0,0,1,1,0,0,21,21
492,0,0,0,0,0,0,1,1,0,0,21,21
493,0,0,0,0,0,0,1,1,0,0,21,21
494,0,1,0,1,0,1,1,1,0,1,21,1
495,0,0,0,0,0,0,1,1,0,0,21,21
496,0,0,0,0,0,0,1,1,0,0,21,21
497,0,0,0,0,0,1,1,1,0,0,21,21
498,0,0,0,0,0,1,1,1,0,0,21,21
499,0,0,0,0,0,1,1,1,0,0,21,21
500,0,0,0,0,0,0,1,1,0,0,21,21
501,0,0,0,0,0,0,1,1,0,0,21,21
502,0,1,0,1,0,1,1,1,0,0,21,13
503,0,0,0,0,0,0,1,1,0,0,21,21
504,0,1,0,1,0,1,1,1,0,1,21,1
505,0,1,0,1,0,1,1,1,0,1,21,1
506,0,0,0,0,0,1,1,1,0,0,21,21
507,0,0,0,0,0,1,1,1,0,0,21,21
508,0,0,0,0,0,0,1,1,0,0,21,21
509,0,0,0,0,0,1,1,1,0,0,21,21
510,0,0,0,0,0,0,1,1,0,0,21,21
511,0,0,0,0,0,1,1,1,0,0,21,21
512,0,0,0,0,0,0,1,1,0,0,21,21
513,0,0,0,0,0,1,1,1,0,0,21,21
514,0,0,0,0,0,0,1,1,0,0,21,21
515,0,0,0,0,0,0,1,1,0,0,21,21
516,0,1,0,1,0,1,1,1,0,1,21,1
517,0,0,0,0,0,0,1,1,0,0,21,21
518,0,0,0,0,0,0,1,1,0,0,21,21
519,0,0,0,0,0,0,1,1,0,0,21,21
